#{"t_start": 1680424587.4342022, "env_id": "PooyanNoFrameskip-v4"}
r,l,t
270.0,598,58.546321
745.0,691,116.959225
775.0,650,174.515241
385.0,369,208.381961
1870.0,1062,308.840461
100.0,460,345.448845
520.0,421,380.841758
1615.0,1097,482.695145
815.0,548,529.730613
1405.0,665,587.822112
1665.0,990,678.699871
1585.0,900,759.155303
1365.0,939,840.84106
740.0,633,897.913593
935.0,663,955.643492
50.0,307,979.853477
1685.0,1082,1081.186761
965.0,627,1138.023553
355.0,481,1176.477547
890.0,564,1231.380028
500.0,535,1277.980102
1525.0,1093,1371.800303
915.0,776,1441.033049
390.0,563,1496.057775
1560.0,740,1556.428341
675.0,593,1612.473564
890.0,715,1672.311481
390.0,406,1707.243129
675.0,549,1761.856368
1185.0,1026,1853.492441
1040.0,766,1922.247683
310.0,443,1958.161244
385.0,411,1993.210784
925.0,632,2050.334768
1255.0,968,2140.031329
1240.0,809,2209.731865
435.0,770,2278.091228
1765.0,1068,2372.38283
555.0,534,2418.599699
745.0,655,2475.788991
825.0,609,2531.915952
245.0,412,2566.903462
1190.0,808,2636.260913
645.0,677,2702.218432
1250.0,660,2759.892341
65.0,410,2795.033165
760.0,534,2841.134828
275.0,572,2888.493052
215.0,597,2944.486952
740.0,790,3014.062568
970.0,588,3062.54946
1080.0,1046,3163.459428
980.0,676,3222.073494
870.0,833,3293.025687
1130.0,733,3360.876619
1615.0,955,3442.774697
940.0,772,3513.421606
685.0,678,3580.002408
135.0,435,3616.137044
445.0,661,3674.15875
570.0,761,3742.906104
310.0,698,3802.049593
170.0,507,3847.882602
840.0,1080,3949.162667
285.0,824,4019.863551
1250.0,732,4087.691867
360.0,798,4157.562583
580.0,630,4214.819776
490.0,696,4274.096116
115.0,435,4310.031885
1140.0,902,4391.283181
325.0,390,4425.819785
75.0,404,4461.023886
80.0,359,4494.743981
485.0,834,4573.725575
520.0,642,4632.632458
295.0,476,4669.577178
1025.0,679,4727.960956
475.0,484,4773.356357
455.0,822,4843.635716
295.0,389,4878.323417
60.0,337,4911.224403
275.0,405,4946.28099
265.0,523,4992.343012
650.0,701,5059.226397
1595.0,706,5118.426877
325.0,538,5164.631764
235.0,421,5200.066301
485.0,556,5254.747141
900.0,837,5325.794127
1325.0,1039,5418.333325
75.0,447,5462.007441
375.0,450,5498.442615
555.0,675,5556.592171
590.0,658,5614.31538
945.0,746,5682.785533
215.0,589,5738.635489
430.0,655,5798.048138
140.0,427,5833.560635
685.0,775,5902.724879
520.0,506,5948.593306
1085.0,947,6030.518103
65.0,421,6066.231521
350.0,535,6120.61832
325.0,519,6167.031868
170.0,564,6214.347509
95.0,420,6249.952271
885.0,880,6330.289197
605.0,620,6387.257695
970.0,1100,6481.502194
145.0,457,6525.73345
540.0,719,6585.171781
365.0,584,6641.003924
1065.0,997,6731.958067
630.0,643,6781.584525
585.0,711,6848.78564
675.0,581,6896.898405
200.0,508,6946.80249
610.0,775,7015.672781
1045.0,593,7071.326501
805.0,629,7128.620453
540.0,714,7187.771203
220.0,532,7234.350007
830.0,653,7291.966834
595.0,780,7361.17185
570.0,587,7417.016553
385.0,572,7464.63569
735.0,911,7545.914433
545.0,778,7614.853907
605.0,662,7680.750599
285.0,555,7727.961552
1170.0,663,7786.30424
455.0,480,7831.502703
755.0,604,7880.104299
900.0,800,7949.929793
610.0,447,7993.738756
990.0,1038,8085.936401
600.0,696,8146.035812
930.0,717,8212.683677
720.0,627,8269.508436
965.0,690,8328.062364
710.0,621,8384.468751
375.0,699,8443.380785
660.0,972,8533.338783
645.0,918,8613.978216
490.0,673,8672.21856
370.0,830,8742.865799
420.0,699,8809.639626
805.0,699,8868.795552
565.0,459,8912.938132
500.0,633,8970.218254
735.0,902,9051.51387
180.0,513,9097.341686
230.0,502,9135.101222
175.0,488,9180.688529
555.0,466,9225.086276
915.0,969,9309.713156
1530.0,1086,9411.233165
1020.0,980,9494.743599
465.0,627,9551.930094
835.0,702,9618.998055
520.0,518,9665.007412
190.0,576,9712.44973
565.0,671,9770.768061
240.0,679,9829.153092
1035.0,899,9909.777318
515.0,525,9955.880809
430.0,607,10012.29553
470.0,640,10069.724858
480.0,588,10125.702968
400.0,406,10160.789997
495.0,436,10196.589429
675.0,628,10253.66518
320.0,584,10301.716494
575.0,591,10357.736449
205.0,489,10404.144426
475.0,479,10441.108817
545.0,553,10496.211085
200.0,501,10534.268027
730.0,770,10603.310346
985.0,1024,10695.196128
645.0,684,10761.601005
660.0,712,10820.935795
915.0,763,10889.674171
1285.0,883,10969.979577
1345.0,977,11052.45374
1300.0,842,11131.083736
895.0,634,11188.308271
460.0,591,11236.219343
855.0,550,11291.120554
960.0,647,11348.612173
730.0,955,11430.435251
640.0,557,11477.374531
910.0,629,11534.253794
285.0,610,11592.266338
650.0,457,11628.775782
1125.0,908,11709.258693
120.0,569,11764.782624
1025.0,693,11823.335396
530.0,517,11869.285848
410.0,771,11938.351681
455.0,599,11994.445107
1225.0,641,12051.754826
235.0,434,12087.563433
805.0,700,12146.338649
940.0,657,12204.341357
440.0,432,12247.830801
490.0,550,12294.677943
630.0,505,12340.567039
475.0,621,12397.727628
830.0,662,12455.79287
780.0,938,12537.771446
605.0,570,12585.596705
1395.0,680,12652.181015
430.0,489,12689.712138
825.0,545,12745.934176
365.0,703,12805.627552
365.0,609,12862.318657
295.0,402,12897.00969
560.0,628,12954.311233
900.0,1029,13046.734273
425.0,625,13103.936006
875.0,739,13164.583665
625.0,598,13220.925536
515.0,655,13278.670082
725.0,746,13346.746406
695.0,569,13394.501069
805.0,643,13451.817468
465.0,528,13498.320768
705.0,624,13555.711973
150.0,436,13591.655928
710.0,579,13647.041975
795.0,663,13705.335399
995.0,640,13762.704408
1105.0,670,13820.991235
1145.0,787,13892.085897
1155.0,864,13971.825382
780.0,687,14030.688449
435.0,520,14076.887474
590.0,556,14124.269325
1080.0,617,14181.436733
480.0,539,14228.265671
930.0,937,14310.576849
475.0,598,14366.799827
475.0,554,14414.120345
295.0,471,14458.819983
915.0,960,14541.222611
1005.0,1065,14642.265001
430.0,553,14689.348468
480.0,707,14748.663283
845.0,663,14806.726867
280.0,454,14850.840719
365.0,487,14896.062928
530.0,597,14944.566879
925.0,916,15026.804875
660.0,708,15093.697462
895.0,783,15162.335839
1220.0,1079,15256.081815
440.0,482,15300.885709
860.0,957,15383.515633
700.0,1022,15475.389921
955.0,965,15565.849617
610.0,536,15612.313172
350.0,388,15646.815375
710.0,1021,15738.853865
855.0,710,15798.406141
940.0,567,15853.781293
585.0,464,15890.368934
535.0,399,15925.218484
1590.0,951,16015.259947
1195.0,1148,16118.566725
635.0,737,16179.932698
795.0,598,16236.027553
1350.0,712,16295.267964
905.0,567,16350.405553
740.0,625,16406.988275
375.0,554,16454.147491
270.0,515,16499.951997
270.0,549,16546.99486
485.0,668,16605.149814
1125.0,962,16694.759884
240.0,449,16730.862313
435.0,575,16778.350582
1120.0,677,16844.634158
900.0,965,16927.162034
575.0,564,16974.393207
625.0,569,17029.658929
755.0,776,17098.717803
175.0,470,17135.50255
190.0,468,17180.16182
430.0,523,17226.580043
440.0,633,17283.177114
460.0,758,17353.412617
875.0,829,17424.166893
200.0,562,17479.651922
380.0,413,17514.941454
315.0,527,17561.32201
225.0,424,17597.110604
420.0,566,17644.717767
210.0,453,17688.775789
725.0,472,17733.737948
365.0,647,17791.558748
770.0,729,17851.830141
585.0,635,17909.394851
755.0,631,17966.706818
245.0,390,18001.184464
505.0,521,18047.576625
870.0,754,18116.305935
1330.0,950,18198.429725
1455.0,1084,18292.278866
650.0,684,18358.874317
875.0,715,18418.554469
385.0,539,18465.313011
535.0,767,18535.434132
700.0,738,18603.556879
120.0,492,18649.008797
350.0,571,18696.521276
760.0,557,18751.891804
715.0,716,18811.3854
485.0,487,18856.681092
1260.0,770,18925.61206
1150.0,869,19005.448891
1045.0,731,19065.550288
440.0,534,19112.158283
740.0,599,19168.513579
70.0,432,19204.392384
1205.0,804,19274.569811
385.0,515,19320.753587
160.0,435,19364.393126
700.0,726,19424.172261
795.0,658,19482.279085
215.0,564,19537.59781
180.0,464,19574.516991
665.0,766,19644.519286
980.0,651,19702.302023
1090.0,764,19770.913666
565.0,722,19838.559917
920.0,561,19886.007299
1015.0,725,19953.951453
930.0,1016,20045.702505
745.0,657,20103.424052
560.0,777,20172.58462
1045.0,809,20242.997518
585.0,403,20277.875252
665.0,635,20334.983552
900.0,930,20416.905176
1105.0,693,20475.690049
795.0,631,20532.916781
860.0,767,20602.507287
355.0,531,20649.010537
745.0,562,20704.54552
850.0,655,20762.614068
810.0,642,20821.358925
435.0,487,20859.025633
350.0,593,20914.502624
190.0,412,20949.384302
1185.0,771,21018.356918
405.0,603,21074.710443
1145.0,823,21145.044551
920.0,560,21192.29809
1050.0,748,21260.511611
790.0,651,21318.334345
355.0,550,21365.180572
775.0,540,21419.932201
885.0,1088,21513.914081
1235.0,807,21584.106268
1255.0,899,21664.466125
260.0,583,21720.409289
925.0,757,21789.233107
740.0,599,21838.098248
1015.0,731,21905.978374
1070.0,969,21989.79411
870.0,1029,22082.032698
725.0,522,22128.444121
815.0,657,22186.609867
1130.0,1150,22290.409136
690.0,677,22356.857554
495.0,560,22404.345661
1180.0,690,22463.440032
920.0,713,22530.89936
650.0,792,22600.72417
575.0,620,22657.83934
640.0,576,22705.931208
935.0,715,22773.802763
780.0,670,22832.401213
700.0,511,22878.643711
555.0,501,22924.534583
195.0,651,22983.003545
915.0,737,23043.459691
460.0,527,23090.186621
455.0,433,23135.367866
510.0,403,23170.524729
730.0,581,23218.832863
530.0,616,23275.90156
770.0,647,23333.493957
1410.0,1077,23427.364516
985.0,956,23517.519453
625.0,710,23577.057384
725.0,1016,23669.531277
710.0,776,23739.163517
1140.0,892,23819.81981
725.0,1025,23912.173441
360.0,565,23959.957201
960.0,661,24018.465955
360.0,466,24062.996421
185.0,431,24099.011461
790.0,517,24145.345515
710.0,712,24212.842828
1100.0,915,24295.40065
465.0,579,24343.646419
1340.0,892,24424.226661
495.0,503,24470.189551
390.0,483,24515.678379
240.0,376,24550.027457
445.0,465,24586.917246
985.0,775,24656.460639
525.0,424,24692.137532
285.0,343,24725.297545
525.0,410,24760.751524
1045.0,972,24851.61172
1055.0,971,24934.483657
610.0,1034,25026.949732
725.0,730,25095.31328
335.0,478,25140.282844
345.0,407,25175.416092
855.0,807,25245.618626
445.0,453,25282.380461
750.0,547,25337.343127
455.0,488,25374.576571
635.0,750,25445.545028
440.0,433,25481.431307
370.0,422,25525.11564
815.0,684,25584.489538
175.0,459,25628.902273
1270.0,1019,25713.531631
910.0,648,25771.150337
260.0,355,25804.744013
335.0,369,25838.876114
420.0,463,25875.437688
445.0,550,25930.265776
590.0,791,26000.103912
840.0,796,26069.94768
660.0,701,26129.214736
525.0,454,26173.450286
310.0,427,26209.322806
825.0,550,26256.699071
290.0,509,26302.572901
475.0,667,26360.645311
1145.0,1122,26463.379587
1055.0,776,26532.73424
865.0,661,26592.190618
380.0,422,26635.639107
550.0,548,26682.752762
630.0,766,26751.768122
755.0,479,26789.184726
505.0,445,26832.906064
920.0,791,26902.793916
1065.0,963,26985.32527
340.0,407,27020.298363
840.0,635,27077.56288
660.0,602,27133.762458
660.0,561,27181.130317
825.0,760,27249.681701
630.0,542,27296.17056
545.0,501,27341.655042
305.0,474,27386.498605
735.0,691,27444.962301
525.0,553,27492.080825
580.0,846,27570.548281
655.0,740,27638.291208
855.0,674,27696.52119
505.0,630,27754.971786
465.0,621,27811.872897
530.0,1021,27896.194301
260.0,450,27940.226257
460.0,528,27986.754683
400.0,484,28031.654243
1160.0,1083,28125.781273
595.0,678,28184.45487
505.0,416,28227.903339
625.0,579,28275.919524
610.0,748,28344.746125
710.0,728,28405.109353
635.0,502,28450.926469
355.0,486,28496.253191
1165.0,1065,28590.192269
500.0,587,28645.979317
355.0,535,28692.815229
820.0,825,28763.840878
420.0,486,28808.963707
1015.0,850,28888.587147
970.0,594,28938.586849
810.0,808,29008.514805
300.0,389,29043.414376
940.0,846,29122.54495
170.0,312,29147.1001
400.0,438,29191.013557
450.0,609,29239.889189
790.0,832,29318.867806
1030.0,1054,29411.889003
685.0,848,29491.243517
875.0,792,29560.928948
720.0,634,29618.471891
815.0,865,29690.347413
700.0,705,29757.584663
130.0,347,29783.303082
555.0,551,29837.958707
375.0,575,29885.839131
860.0,1019,29978.241336
1030.0,718,30038.192521
710.0,566,30094.799289
485.0,569,30142.271602
805.0,911,30223.494141
680.0,505,30270.349074
510.0,510,30317.374469
305.0,597,30374.733177
940.0,584,30423.507543
105.0,344,30457.345269
260.0,655,30516.425187
320.0,341,30542.315365
1160.0,1240,30658.26848
350.0,609,30715.821211
685.0,511,30762.511928
480.0,654,30821.064393
615.0,487,30858.153355
330.0,638,30914.754347
370.0,678,30980.51492
625.0,644,31037.341218
415.0,532,31083.238252
80.0,358,31108.918616
520.0,1054,31208.724408
280.0,440,31245.88761
400.0,656,31303.264001
525.0,582,31358.705845
325.0,398,31393.271211
365.0,476,31430.156801
115.0,341,31463.199666
280.0,549,31509.960159
400.0,603,31566.183763
760.0,574,31613.684433
165.0,381,31647.824976
850.0,687,31706.459699
460.0,650,31763.836253
790.0,654,31821.309874
600.0,650,31878.959607
600.0,715,31946.025792
965.0,695,32004.902953
770.0,610,32061.283426
230.0,311,32085.615031
255.0,435,32129.089688
190.0,388,32163.240375
270.0,439,32199.046034
490.0,460,32243.301888
400.0,567,32290.726796
740.0,772,32359.595982
695.0,502,32406.330783
1040.0,844,32477.308831
425.0,555,32532.078374
745.0,680,32590.510113
740.0,909,32671.477186
570.0,757,32739.983392
345.0,551,32787.055053
730.0,609,32843.575337
1010.0,799,32913.590569
485.0,967,32995.835903
500.0,610,33052.143633
885.0,1010,33143.530917
705.0,615,33199.925609
420.0,472,33236.695851
410.0,598,33292.611846
805.0,1083,33385.653282
605.0,714,33452.718762
545.0,518,33498.395324
810.0,876,33579.525112
170.0,417,33614.678666
1585.0,1219,33719.583778
445.0,618,33776.349792
560.0,570,33823.779657
355.0,740,33891.706275
555.0,620,33948.105726
415.0,403,33982.8857
180.0,470,34027.148361
630.0,691,34085.459214
960.0,946,34166.887588
1120.0,764,34235.432432
785.0,906,34315.792913
555.0,780,34384.550044
170.0,346,34417.437344
610.0,862,34488.509379
425.0,513,34534.121505
315.0,457,34578.25853
665.0,550,34624.810346
1160.0,772,34694.664083
280.0,551,34741.281366
490.0,620,34797.548842
365.0,379,34831.275517
1405.0,1083,34924.062234
470.0,617,34980.413772
825.0,580,35035.733608
720.0,827,35105.850248
185.0,477,35150.188455
1030.0,699,35208.907544
505.0,565,35256.213351
485.0,542,35310.4424
1200.0,763,35378.8454
710.0,747,35439.209073
525.0,564,35494.2098
300.0,425,35529.640668
1490.0,859,35608.620179
480.0,436,35644.223979
560.0,627,35701.288437
130.0,318,35725.744377
905.0,731,35793.435043
620.0,708,35853.616179
785.0,588,35909.273982
915.0,796,35978.890873
310.0,362,36012.587736
650.0,653,36070.328248
405.0,594,36118.641584
1150.0,1097,36220.460432
1005.0,966,36302.935231
355.0,517,36348.756109
315.0,365,36382.531385
565.0,659,36440.256342
1150.0,806,36510.412248
480.0,508,36555.914427
495.0,721,36623.514334
1000.0,713,36683.026282
425.0,402,36717.82255
925.0,751,36786.162121
440.0,633,36843.560986
365.0,550,36890.655863
160.0,463,36935.19804
1115.0,774,37005.983584
935.0,756,37074.466287
740.0,550,37121.311008
590.0,668,37179.423091
440.0,341,37212.571267
505.0,570,37259.916489
450.0,620,37316.397069
870.0,1080,37409.832531
550.0,420,37452.781633
340.0,456,37489.061937
705.0,1021,37580.623632
640.0,728,37647.965605
170.0,321,37672.466386
175.0,365,37706.192396
930.0,764,37774.857751
270.0,394,37809.380645
580.0,519,37855.155761
765.0,711,37914.305016
835.0,729,37981.772169
320.0,390,38016.376049
285.0,478,38061.059962
765.0,636,38110.571545
620.0,519,38157.849413
685.0,566,38212.74601
925.0,1031,38304.155142
400.0,435,38339.775483
1060.0,743,38407.643605
570.0,684,38465.84217
1000.0,969,38555.412437
645.0,629,38604.207662
655.0,582,38659.318497
900.0,967,38741.274191
870.0,600,38796.812725
880.0,603,38852.63265
1185.0,648,38909.640898
540.0,540,38955.913622
640.0,634,39012.653663
365.0,578,39060.16978
255.0,556,39114.509079
500.0,559,39161.561828
565.0,528,39207.678453
520.0,555,39254.585257
730.0,735,39323.507927
865.0,623,39380.226801
565.0,446,39415.95544
415.0,464,39460.220813
605.0,743,39520.166338
595.0,631,39577.057106
655.0,632,39634.092726
365.0,582,39689.371103
830.0,595,39737.526417
1095.0,902,39817.799783
515.0,690,39876.591423
660.0,530,39930.776175
720.0,864,40002.464377
1270.0,616,40058.966595
1210.0,748,40127.087512
1020.0,883,40207.025406
750.0,769,40275.965255
260.0,347,40301.526643
320.0,534,40347.866919
670.0,726,40416.592908
555.0,748,40484.415839
205.0,471,40521.046156
725.0,637,40577.973367
450.0,595,40633.669028
370.0,397,40668.158412
330.0,676,40726.136892
980.0,569,40773.363179
895.0,703,40839.904318
590.0,566,40886.912905
250.0,424,40929.960613
350.0,462,40966.368451
760.0,701,41025.27767
400.0,578,41080.692957
530.0,487,41125.475109
760.0,570,41172.952146
885.0,717,41240.127081
335.0,557,41286.989207
965.0,645,41344.102042
595.0,708,41403.200707
1000.0,972,41493.591531
570.0,482,41538.585171
915.0,1098,41634.106536
365.0,382,41668.193333
520.0,474,41712.895392
385.0,507,41758.529882
1040.0,1036,41850.243247
925.0,636,41899.345916
790.0,1047,41999.147155
975.0,967,42081.172849
355.0,511,42127.039687
750.0,717,42194.018794
755.0,1058,42286.552404
865.0,777,42355.427486
500.0,585,42403.17008
1000.0,1146,42506.494054
840.0,778,42575.617064
135.0,367,42609.433757
830.0,976,42699.74433
1275.0,1025,42792.433338
530.0,493,42829.891344
990.0,967,42919.937051
830.0,565,42967.055622
235.0,551,43013.644209
435.0,490,43058.558619
710.0,781,43127.227219
1320.0,1056,43219.570312
1020.0,769,43288.306775
1185.0,896,43368.237276
1225.0,913,43448.53639
875.0,729,43515.955521
955.0,725,43583.418329
690.0,652,43640.871279
640.0,739,43701.082634
310.0,410,43736.25533
755.0,838,43814.757856
1040.0,763,43884.687444
465.0,485,43929.589843
525.0,649,43986.812355
1035.0,962,44068.763954
1185.0,944,44150.116293
1180.0,796,44219.441133
655.0,684,44285.318517
1095.0,973,44367.539432
1090.0,596,44423.352545
570.0,665,44481.106266
700.0,724,44548.208143
535.0,521,44594.051233
635.0,661,44651.575926
985.0,558,44698.367561
865.0,748,44766.350644
670.0,601,44814.371841
895.0,704,44881.241839
905.0,965,44963.129478
1090.0,895,45044.098089
470.0,662,45101.930563
1325.0,1085,45203.374849
1045.0,715,45263.273204
855.0,522,45309.413522
550.0,492,45354.671859
685.0,723,45422.10225
555.0,625,45479.207732
1050.0,709,45538.442276
830.0,1020,45630.618599
1190.0,1027,45722.610883
945.0,739,45790.500221
630.0,1014,45874.529758
465.0,472,45919.068779
390.0,338,45952.089874
460.0,351,45977.690696
970.0,1003,46068.951065
510.0,616,46125.47689
710.0,493,46171.821872
710.0,698,46230.464346
575.0,719,46297.654875
175.0,326,46322.268132
140.0,360,46355.752457
405.0,366,46389.498888
110.0,311,46413.637608
955.0,696,46472.038113
635.0,466,46516.3442
170.0,304,46540.283289
1295.0,1029,46631.885629
315.0,574,46687.052743
1135.0,1086,46780.186611
175.0,332,46812.856951
825.0,717,46872.064683
920.0,903,46952.619537
560.0,446,46996.458459
345.0,588,47044.429549
800.0,759,47112.874609
730.0,488,47157.886039
520.0,581,47205.878608
590.0,557,47252.491891
560.0,590,47310.104411
220.0,413,47345.302667
755.0,685,47403.748925
130.0,451,47447.749404
475.0,567,47495.556252
700.0,622,47552.149795
360.0,610,47608.672275
685.0,571,47656.176646
640.0,585,47711.642276
510.0,485,47748.97389
650.0,1020,47840.467385
625.0,442,47884.00559
750.0,716,47943.346855
285.0,458,47987.476381
215.0,461,48023.902001
365.0,613,48080.433089
580.0,498,48125.8585
510.0,544,48172.673903
1140.0,1029,48264.573259
605.0,567,48311.75833
395.0,577,48367.146789
570.0,568,48414.825099
430.0,712,48483.415988
895.0,968,48565.899725
770.0,1038,48658.135443
385.0,594,48714.092544
1080.0,904,48794.467595
550.0,622,48851.227232
605.0,467,48888.048149
680.0,625,48944.854508
985.0,914,49025.77471
845.0,960,49115.418741
400.0,575,49162.900493
510.0,676,49221.405925
1010.0,837,49299.697163
915.0,674,49357.901198
1030.0,959,49439.909793
1075.0,1006,49530.741599
740.0,749,49598.794308
430.0,543,49646.592839
1300.0,702,49713.511395
850.0,950,49794.586348
975.0,756,49862.705425
385.0,480,49899.404314
885.0,1007,49990.352798
1040.0,1029,50081.937667
885.0,705,50148.431201
1100.0,980,50230.840991
530.0,498,50275.789372
595.0,628,50332.482648
775.0,495,50377.632052
435.0,583,50425.272916
475.0,777,50493.876953
160.0,419,50528.859698
445.0,495,50573.805573
615.0,619,50630.243744
745.0,485,50675.179153
220.0,480,50711.911373
540.0,961,50803.113475
595.0,574,50850.643103
850.0,710,50917.680934
705.0,650,50975.095171
565.0,576,51022.82972
485.0,654,51080.62894
950.0,692,51147.481246
555.0,651,51204.979537
850.0,665,51263.076892
695.0,634,51319.851768
405.0,412,51355.015082
460.0,476,51391.749829
465.0,708,51458.834693
775.0,585,51506.419795
1145.0,970,51596.896415
580.0,507,51642.248852
685.0,623,51699.116042
1300.0,947,51781.06236
630.0,444,51816.922515
405.0,559,51871.852063
420.0,566,51920.308319
1255.0,1024,52012.399125
1090.0,582,52060.224858
495.0,572,52115.513729
660.0,577,52163.592701
625.0,698,52230.465142
1060.0,715,52289.730134
1000.0,1020,52381.512877
930.0,947,52463.261671
885.0,615,52519.628849
535.0,389,52553.867684
465.0,603,52610.04651
640.0,577,52657.853603
935.0,724,52725.338378
635.0,486,52770.297361
615.0,912,52850.915964
505.0,702,52909.967856
870.0,651,52967.47573
880.0,904,53047.870492
750.0,673,53107.421125
1130.0,653,53164.898864
395.0,402,53199.690476
845.0,1084,53300.845165
730.0,1033,53393.165409
905.0,701,53452.390583
525.0,505,53498.086171
690.0,599,53554.179371
755.0,767,53622.863495
1125.0,932,53703.922959
1040.0,948,53785.920187
1390.0,904,53866.305641
575.0,775,53935.230362
365.0,453,53979.215999
290.0,368,54013.116892
660.0,652,54070.954368
570.0,551,54117.914467
1190.0,915,54198.348698
1040.0,846,54270.113416
1030.0,715,54337.118491
870.0,694,54395.747447
460.0,549,54449.984717
